#Date,JD,mag
2018-02-11 19:06:34,2458161.29623,18.70
2018-02-12 01:06:46,2458161.54637,18.35
2018-02-12 05:20:25,2458161.72251,18.89
2018-02-12 07:06:59,2458161.79652,18.85
2018-02-12 11:20:37,2458161.97265,18.73
2018-02-12 13:07:11,2458162.04666,18.62
2018-02-12 17:20:50,2458162.22280,18.59
2018-02-12 19:07:24,2458162.29681,18.55
2018-02-12 23:21:03,2458162.47295,18.84
2018-02-13 01:07:36,2458162.54694,18.80
2018-02-13 05:21:15,2458162.72309,18.72
2018-02-13 07:07:49,2458162.79709,18.75
2018-02-13 11:21:28,2458162.97324,18.52
2018-02-13 13:08:02,2458163.04725,18.53
2018-02-13 17:21:41,2458163.22339,18.12
2018-03-26 16:46:01,2458204.19862,18.74
2018-03-26 18:32:34,2458204.27262,18.73
2018-05-02 17:46:33,2458241.24066,19.06
2018-05-02 22:00:12,2458241.41681,19.13
2018-05-14 16:06:03,2458253.17087,19.32
2018-05-14 17:52:37,2458253.24487,19.25
2018-05-14 23:52:50,2458253.49502,19.11
2018-08-21 00:19:08,2458351.51329,19.08
2018-08-21 02:05:43,2458351.58730,19.11
2018-09-05 18:26:59,2458367.26874,19.17
2018-09-05 20:13:33,2458367.34274,19.06
2018-10-10 17:57:08,2458402.24801,19.15
2019-02-15 00:19:43,2458529.51369,19.28
2019-02-15 02:06:17,2458529.58770,19.27
2019-03-04 12:24:31,2458547.01703,19.30
2019-04-06 13:40:45,2458580.06997,18.79
2019-08-19 23:29:46,2458715.47900,18.84
2019-08-20 01:16:21,2458715.55302,18.94
2019-09-07 12:00:12,2458734.00014,18.82
2019-09-07 13:46:47,2458734.07416,18.96
2020-02-26 16:32:49,2458906.18946,19.31
2020-02-26 18:19:23,2458906.26346,19.26
2020-03-18 23:12:22,2458927.46692,18.87
2020-04-18 00:25:46,2458957.51789,18.70
2020-04-18 02:12:19,2458957.59189,18.66
2020-08-21 08:03:52,2459082.83602,18.91
2020-08-21 12:17:33,2459083.01219,18.98
2020-09-06 18:24:56,2459099.26731,19.02
2020-09-06 20:11:31,2459099.34133,19.10
2021-02-15 06:18:11,2459260.76263,18.29
2021-02-15 08:04:44,2459260.83662,18.37
2021-02-15 12:18:23,2459261.01277,18.30
2021-03-05 08:08:41,2459278.83936,18.69
2021-03-05 12:22:20,2459279.01551,18.86
2021-04-06 23:52:53,2459311.49506,18.74
2021-08-30 21:08:51,2459457.38115,18.94
2021-08-31 01:22:33,2459457.55733,18.79
2021-09-21 19:23:32,2459479.30801,18.70
2021-09-21 21:10:06,2459479.38201,18.73
2021-10-22 01:07:40,2459509.54699,18.86
2022-02-24 19:25:24,2459635.30931,18.92
2022-02-24 21:11:58,2459635.38331,18.97
2022-04-17 13:00:06,2459687.04174,19.21
2022-04-17 14:46:40,2459687.11574,19.10
2022-09-10 04:16:48,2459832.67833,18.79
2022-10-06 20:22:30,2459859.34896,19.24
2022-11-01 10:05:07,2459884.92022,19.14
2023-03-07 02:33:44,2460010.60676,19.24
2023-04-04 14:13:49,2460039.09293,18.98
2023-04-04 16:00:22,2460039.16692,18.85
2023-04-27 21:52:36,2460062.41153,18.82
2023-09-20 21:40:06,2460208.40285,19.23
2023-10-21 23:08:53,2460239.46450,19.27
2023-11-11 03:28:20,2460259.64468,18.92
2023-11-11 05:14:55,2460259.71869,18.86
