aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","1139254583415010038",true,4.8770466,false,"",0.19155307,0.12246647,0.1283489,"",2,true,-1,19.994562,19.55982,58893.25458330009,"ZTF18accucaj",0,1139254583415,98.3804827,"ztf","ztf",20.6627,0.05502121,0.9965327,"d6_m7",19.8891,19.8923,1139,0.80142856,"t17_f5_c3",460120234,0.2233,0.2865,"bulk_1.0.0"
"","1364484363415015053",true,4.8769865,false,"",0.21117453,0.10107667,0.10257778,"",1,false,1,20.56091,19.77694,59118.48436339991,"ZTF18accucaj",1366518313415010000,1364484363415,98.3805553,"ztf","ztf",20.615446,0.3797557,0.9999975,"d6_m7",20.8123,20.9852,1364,0.79571426,"t17_f5_c3",460120134,0.4406,0.6609,"bulk_1.0.0"
"","1364506383415015037",true,4.8769908,false,"",0.15518236,0.046252523,0.048863135,"",2,false,1,19.847076,18.592424,59118.50638889987,"ZTF18accucaj",1366518313415010000,1364506383415,98.3804384,"ztf","ztf",20.519857,0.19672672,0.9998361,"d6_m7",19.7135,19.6036,1364,0.8257143,"t17_f5_c3",460120234,0.2053,0.2366,"bulk_1.0.0"
"","1366518313415010036",true,4.8770404,false,"",0.15811083,0.10783279,0.1149143,"",2,false,-1,19.942572,19.596104,59120.51831019996,"ZTF18accucaj",1387381493415015000,1366518313415,98.3804487,"ztf","ztf",20.426512,0.06709015,0.99989027,"d6_m7",19.8986,20.2945,1366,0.8685714,"t17_f5_c3",460120234,0.267,0.4929,"bulk_1.0.0"
"","1381402063415015019",true,4.8770399,false,"",0.124353446,0.042878136,0.045302413,"",2,false,1,19.607466,18.511124,59135.402060199995,"ZTF18accucaj",1387381493415015000,1381402063415,98.3804973,"ztf","ztf",20.410671,0.10352282,0.9999937,"d6_m7",19.6269,19.438,1381,0.9071429,"t17_f5_c3",460120234,0.2097,0.2252,"bulk_1.0.0"
"","1381440653415015032",true,4.8770485,false,"",0.237841,0.12241568,0.12350206,"",1,false,1,20.4153,19.70377,59135.44065969996,"ZTF18accucaj",1387381493415015000,1381440653415,98.3805339,"ztf","ztf",20.5905,0.314751,"","",20.4665,20.491,1381,0.784286,"t17_f5_c3","",0.3556,0.4653,"bulk_1.0.0"
"","1383461013415015032",true,4.8768325,false,"",0.280207,0.13351755,0.13468015,"",1,false,1,20.5831,19.78766,59137.46101849992,"ZTF18accucaj",1387381493415015000,1383461013415,98.3805707,"ztf","ztf",20.6259,0.782619,"","",20.2638,20.0773,1383,0.644286,"t17_f5_c3","",0.2844,0.3065,"bulk_1.0.0"
"","1387381493415015013",true,4.8769643,false,"",0.18838651,0.0488427,0.05161813,"",2,false,1,20.060959,18.65534,59141.381493099965,"ZTF18accucaj",1389442333415015000,1387381493415,98.3805364,"ztf","ztf",20.347582,0.35584116,0.999257,"d6_m7",19.9818,19.733,1387,0.86,"t17_f5_c3",460120234,0.2957,0.3008,"bulk_1.0.0"
"","1389442333415015025",true,4.8770548,false,"",0.14841661,0.04315278,0.045980025,"",2,false,1,19.872715,18.600431,59143.44233800005,"ZTF18accucaj",1401457823415015000,1389442333415,98.3805547,"ztf","ztf",20.497356,0.3092807,0.9999949,"d6_m7",20.108,19.9165,1389,0.89285713,"t17_f5_c3",460120234,0.2938,0.3147,"bulk_1.0.0"
"","1401457823415015010",true,4.8770855,false,"",0.1768125,0.06380089,0.06542549,"",2,true,1,19.580719,18.501305,59155.45782409981,"ZTF18accucaj",0,1401457823415,98.3804309,"ztf","ztf",20.05074,0.21153465,0.99985933,"d6_m7",19.5234,19.3402,1401,0.83285713,"t17_f5_c3",460120234,0.2636,0.2854,"bulk_1.0.0"
"","1420364813415010063",true,4.8770024,false,"",0.2569,0.08628405,0.091756776,"",2,false,-1,20.4524,19.334585,59174.36481480021,"ZTF18accucaj",1440359363415010000,1420364813415,98.3804292,"ztf","ztf",20.5711,0.203527,"","",20.7318,20.1487,1420,0.77,"t17_f5_c3","",0.5093,0.381,"bulk_1.0.0"
"","1422415243415010056",true,4.8770207,false,"",0.234353,0.07931314,0.08529184,"",2,false,-1,20.4374,19.339993,59176.41524309991,"ZTF18accucaj",1440359363415010000,1422415243415,98.3804742,"ztf","ztf",20.6051,0.068199,"","",20.1288,19.9421,1422,0.785714,"t17_f5_c3","",0.2827,0.3045,"bulk_1.0.0"
"","1440359363415010037",true,4.8770062,false,"",0.2124348,0.12814566,0.13350716,"",2,true,-1,20.036747,19.532444,59194.35936339991,"ZTF18accucaj",0,1440359363415,98.3803868,"ztf","ztf",20.186705,0.31412598,0.9975705,"d6_m7",19.9624,19.8396,1440,0.8457143,"t17_f5_c3",460120234,0.293,0.3353,"bulk_1.0.0"
"","1479298773415015030",true,4.8770387,false,"",0.272283,0.13046488,0.13164158,"",1,false,1,20.5708,19.781733,59233.298773100134,"ZTF18accucaj","",1479298773415,98.3804931,"ztf","ztf",20.4103,0.148084,"","",20.5739,20.9407,1479,0.575714,"t17_f5_c3","",0.362,0.6485,"correction_0.0.1"
